,Country or Area,Year,Value
153,Canada,2004,742971.6441287759
154,Canada,2003,741002.787682284
155,Canada,2002,724348.553329597
156,Canada,2001,719733.428442391
157,Canada,2000,730587.6018049159
158,Canada,1999,707376.01525363
159,Canada,1998,694531.39397746
160,Canada,1997,686988.022262297
161,Canada,1996,672053.099319326
162,Canada,1995,651011.018005915
163,Canada,1994,633675.451903352
164,Canada,1993,612264.415775658
165,Canada,1992,610440.864288721
166,Canada,1991,593402.355386533
167,Canada,1990,602184.4411501529
168,Croatia,2017,25019.749371970098
169,Croatia,2016,24384.834170679198
170,Croatia,2015,24247.4164072443
171,Croatia,2014,23762.7250576896
172,Croatia,2013,24554.5423874369
173,Croatia,2012,25915.7422565134
174,Croatia,2011,27788.934782620898
175,Croatia,2010,28084.722365712798
176,Croatia,2009,28496.677686312003
177,Croatia,2008,30849.3697364281
178,Croatia,2007,31793.567750398703
179,Croatia,2006,30394.124722903798
180,Croatia,2005,30012.3335685029
181,Croatia,2004,29626.8528714338
182,Croatia,2003,29515.1941878935
183,Croatia,2002,28095.3019827258
184,Croatia,2001,27056.2512357219
185,Croatia,2000,25860.876918293397
186,Croatia,1999,26212.678930975602
187,Croatia,1998,25110.1282350418
188,Croatia,1997,24765.023457708998
189,Croatia,1996,23546.4234324996
190,Croatia,1995,22936.7510314243
191,Croatia,1994,22338.022535134798
192,Croatia,1993,23256.0694840878
193,Croatia,1992,23114.148472145098
194,Croatia,1991,25037.9971134042
195,Croatia,1990,31858.3616823847
196,Cyprus,2017,8945.264611629978
197,Cyprus,2016,8741.333258149449
198,Cyprus,2015,8303.20740523759
199,Cyprus,2014,8216.729833685209
200,Cyprus,2013,7843.02642665768
201,Cyprus,2012,8561.12816098376
202,Cyprus,2011,9101.56211196444
203,Cyprus,2010,9458.769791279141
204,Cyprus,2009,9775.350905316829
205,Cyprus,2008,10028.451082608399
206,Cyprus,2007,9881.220257745541
207,Cyprus,2006,9542.639528723521
208,Cyprus,2005,9333.44430295285
209,Cyprus,2004,9141.64330955495
210,Cyprus,2003,8940.286005336999
211,Cyprus,2002,8551.868523974621
212,Cyprus,2001,8326.275129155309
213,Cyprus,2000,8386.5043644085
214,Cyprus,1999,8128.098125951
215,Cyprus,1998,7860.113604008009
216,Cyprus,1997,7531.7262758651295
217,Cyprus,1996,7442.11875919643
218,Cyprus,1995,7095.553751600709
219,Cyprus,1994,7151.98402502473
220,Cyprus,1993,6898.56457632919
221,Cyprus,1992,6616.173944235849
222,Cyprus,1991,6183.147096933621
223,Cyprus,1990,5668.85258929381
224,Czechia,2017,128675.046758733
225,Czechia,2016,129756.684339864
226,Czechia,2015,127777.826070914
227,Czechia,2014,126758.46210497801
228,Czechia,2013,128691.098656356
229,Czechia,2012,133697.714737607
230,Czechia,2011,137753.143775587
231,Czechia,2010,139733.690550954
232,Czechia,2009,137214.51935273
233,Czechia,2008,145614.293000234
234,Czechia,2007,150336.764773055
235,Czechia,2006,148598.758002325
236,Czechia,2005,147494.14425428098
237,Czechia,2004,149624.671492104
238,Czechia,2003,148758.853523425
239,Czechia,2002,145505.518453234
240,Czechia,2001,149096.972913681
241,Czechia,2000,149333.519871155
242,Czechia,1999,139448.477561187
243,Czechia,1998,148998.235615398
244,Czechia,1997,155160.04948147302
245,Czechia,1996,159770.065100151
246,Czechia,1995,156717.543066155
247,Czechia,1994,157517.669679357
248,Czechia,1993,165018.181810672
249,Czechia,1992,172686.941688106
250,Czechia,1991,179181.862713215
251,Czechia,1990,197392.70411981898
252,Denmark,2017,49225.641483449406
253,Denmark,2016,51297.737215377194
254,Denmark,2015,49253.8533877321
255,Denmark,2014,51870.7988014991
256,Denmark,2013,56021.3660115959
257,Denmark,2012,54334.565515671
258,Denmark,2011,58946.94016923
259,Denmark,2010,64178.389803369806
260,Denmark,2009,63875.914437597996
261,Denmark,2008,66656.5312951215
262,Denmark,2007,70293.3142495525
263,Denmark,2006,74858.9734996958
264,Denmark,2005,67090.8675339292
265,Denmark,2004,71510.992872569
266,Denmark,2003,77644.9675538145
267,Denmark,2002,72590.3831710362
268,Denmark,2001,73066.2466634149
269,Denmark,2000,71367.5885969682
270,Denmark,1999,75672.1333036437
271,Denmark,1998,78076.8333405487
272,Denmark,1997,82058.4586854458
273,Denmark,1996,91499.9110955479
274,Denmark,1995,78332.1223385895
275,Denmark,1994,81266.9279459393
276,Denmark,1993,77370.3509281203
277,Denmark,1992,75165.4709111901
278,Denmark,1991,81145.74264790349
279,Denmark,1990,70515.4364007722
280,Estonia,2017,20879.8789305092
281,Estonia,2016,19664.9740030705
282,Estonia,2015,18126.699397449698
283,Estonia,2014,21147.379541038797
284,Estonia,2013,21941.9070304424
285,Estonia,2012,20170.8500206543
286,Estonia,2011,21258.9330513225
287,Estonia,2010,21213.674391668403
288,Estonia,2009,16757.925430041498
289,Estonia,2008,20046.1430902016
290,Estonia,2007,22224.6853023012
291,Estonia,2006,18498.0489347941
292,Estonia,2005,19203.2389553134
293,Estonia,2004,19374.7357325912
294,Estonia,2003,19110.045764877
295,Estonia,2002,17221.1916890992
296,Estonia,2001,17760.3508861953
297,Estonia,2000,17359.6162794649
298,Estonia,1999,17651.995916256797
299,Estonia,1998,18995.5566650803
300,Estonia,1997,20584.7238277463
301,Estonia,1996,20960.171607711698
302,Estonia,1995,20258.5457858406
303,Estonia,1994,22058.7426532967
304,Estonia,1993,21350.7407639851
305,Estonia,1992,27292.130168586802
306,Estonia,1991,37283.655696006805
307,Estonia,1990,40431.5076969454
308,European Union,2017,4323163.15129724
309,European Union,2016,4303391.86932903
310,European Union,2015,4327313.20315756
311,European Union,2014,4297635.76767634
312,European Union,2013,4468920.46246092
313,European Union,2012,4563064.70686337
314,European Union,2011,4626382.21402597
315,European Union,2010,4783627.78508711
316,European Union,2009,4681900.46015643
317,European Union,2008,5046999.42857922
318,European Union,2007,5162425.24769725
319,European Union,2006,5214524.885933001
320,European Union,2005,5228428.61909226
321,European Union,2004,5265368.64841412
322,European Union,2003,5265582.68508715
323,European Union,2002,5182922.83701885
324,European Union,2001,5223118.40954241
325,European Union,2000,5168911.90268119
326,European Union,1999,5172643.92202765
327,European Union,1998,5281519.48166372
328,European Union,1997,5326316.82367958
329,European Union,1996,5418671.89171297
330,European Union,1995,5308543.99663685
331,European Union,1994,5255297.26627382
332,European Union,1993,5281540.38977829
333,European Union,1992,5379830.54313405
334,European Union,1991,5555045.94532683
335,European Union,1990,5649529.341938
336,Finland,2017,55334.1338451499
337,Finland,2016,58044.3089552883
338,Finland,2015,55122.8520517171
339,Finland,2014,58733.066688802
340,Finland,2013,62893.82804841731
341,Finland,2012,62415.206904058796
342,Finland,2011,67805.3011157322
343,Finland,2010,75626.96674213941
344,Finland,2009,67804.0418044474
345,Finland,2008,71399.30900402111
346,Finland,2007,79513.2857600744
347,Finland,2006,81174.18470505219
348,Finland,2005,69812.8970765205
349,Finland,2004,81841.15255487901
350,Finland,2003,85531.91150671401
351,Finland,2002,77946.6707860203
352,Finland,2001,75490.2997029353
353,Finland,2000,70129.8215566361
354,Finland,1999,71981.47406019451
355,Finland,1998,72566.2048494561
356,Finland,1997,76255.5041267451
357,Finland,1996,77674.7641251509
358,Finland,1995,71788.15851434019
359,Finland,1994,75345.9128299533
360,Finland,1993,69727.6330346408
361,Finland,1992,67468.0485723826
362,Finland,1991,68905.0307142655
363,Finland,1990,71133.0094831229
364,France,2017,471028.18530531396
365,France,2016,467622.11223215604
366,France,2015,466384.614761895
367,France,2014,461479.20200373203
368,France,2013,491141.06396929204
369,France,2012,490856.471536369
370,France,2011,491009.447207556
371,France,2010,517115.539794043
372,France,2009,510350.60610492795
373,France,2008,530315.423997652
374,France,2007,536947.728020251
375,France,2006,547093.228922874
376,France,2005,559498.924554551
377,France,2004,557794.011023129
378,France,2003,559543.623811432
379,France,2002,554879.23927172
380,France,2001,561354.831834371
381,France,2000,556370.4532854679
382,France,1999,562660.842087451
383,France,1998,570618.92907282
384,France,1997,556744.4461579929
385,France,1996,564086.61885708
386,France,1995,546758.333164511
387,France,1994,538663.614248155
388,France,1993,545037.067628301
389,France,1992,566696.930776479
390,France,1991,578336.069807159
391,France,1990,551048.690848555
392,Germany,2017,906611.46376746
393,Germany,2016,911049.005597473
394,Germany,2015,907190.4822329109
395,Germany,2014,903196.413800795
396,Germany,2013,942250.0520782759
397,Germany,2012,924611.396101721
398,Germany,2011,920305.8517248391
399,Germany,2010,942541.8865780929
400,Germany,2009,908054.0232877791
401,Germany,2008,975645.901742101
402,Germany,2007,973941.703685705
403,Germany,2006,1000637.86113613
404,Germany,2005,993343.6773896059
405,Germany,2004,1019123.50033534
406,Germany,2003,1035574.18189397
407,Germany,2002,1038919.73117792
408,Germany,2001,1060271.28560015
409,Germany,2000,1045187.4344354001
410,Germany,1999,1047033.5120204
411,Germany,1998,1080728.8228479
412,Germany,1997,1106000.52204722
413,Germany,1996,1141084.76607261
414,Germany,1995,1123034.58594845
415,Germany,1994,1125835.19460356
416,Germany,1993,1144856.75361968
417,Germany,1992,1153796.49946706
418,Germany,1991,1203924.49235999
419,Germany,1990,1250992.60891226
420,Greece,2017,95420.7824492579
421,Greece,2016,91697.7328411575
422,Greece,2015,95330.37426525439
423,Greece,2014,99113.1058755791
424,Greece,2013,102546.572316616
425,Greece,2012,112146.280905253
426,Greece,2011,115453.96039880099
427,Greece,2010,118436.485584057
428,Greece,2009,124534.98988496099
429,Greece,2008,131716.460707391
430,Greece,2007,134996.581786056
431,Greece,2006,132390.97157442902
432,Greece,2005,136281.248064529
433,Greece,2004,131814.309665334
434,Greece,2003,131131.716166865
435,Greece,2002,127395.40335541301
436,Greece,2001,127398.952983144
437,Greece,2000,126346.422029197
438,Greece,1999,122983.419950976
439,Greece,1998,122812.00980009901
440,Greece,1997,117213.485431073
441,Greece,1996,112302.55740458099
442,Greece,1995,109155.967788079
443,Greece,1994,106804.210974922
444,Greece,1993,104013.094959671
445,Greece,1992,104423.08942906199
446,Greece,1991,103172.440329199
447,Greece,1990,103101.31285482801
448,Hungary,2017,63787.5798428156
449,Hungary,2016,61139.7800189102
450,Hungary,2015,60767.14312328809
451,Hungary,2014,57415.8204834258
452,Hungary,2013,56795.76913336809
453,Hungary,2012,59647.1823340557
454,Hungary,2011,63351.0090822244
455,Hungary,2010,64949.1341380355
456,Hungary,2009,64585.7922124757
457,Hungary,2008,70576.45231732019
458,Hungary,2007,72383.6199950447
459,Hungary,2006,74143.4465974389
460,Hungary,2005,75359.6573300283
461,Hungary,2004,75604.5147423041
462,Hungary,2003,76638.83538672549
463,Hungary,2002,73602.06658516769
464,Hungary,2001,75243.8553360609
465,Hungary,2000,73207.9710143854
466,Hungary,1999,76138.3656467
467,Hungary,1998,75668.3964088186
468,Hungary,1997,76126.0235284561
469,Hungary,1996,77621.2090629014
470,Hungary,1995,75319.5613414722
471,Hungary,1994,76733.4923332997
472,Hungary,1993,77860.24917903531
473,Hungary,1992,76993.7346913758
474,Hungary,1991,86996.9339772593
475,Hungary,1990,93655.92628306859
476,Iceland,2017,4754.64398392713
477,Iceland,2016,4639.913210416379
478,Iceland,2015,4715.09283772081
479,Iceland,2014,4634.49427799099
480,Iceland,2013,4598.7154254933
481,Iceland,2012,4601.8119533217405
482,Iceland,2011,4581.6415542801205
483,Iceland,2010,4844.821422073
484,Iceland,2009,4943.02834399058
485,Iceland,2008,5241.3965285552
486,Iceland,2007,4853.20651640048
487,Iceland,2006,4547.647130304779
488,Iceland,2005,3947.3100906950103
489,Iceland,2004,4088.2657411487703
490,Iceland,2003,3984.2194862951396
491,Iceland,2002,4005.90080506856
492,Iceland,2001,3935.29039132724
493,Iceland,2000,4037.6767728233503
494,Iceland,1999,4030.5173117379604
495,Iceland,1998,3806.96567597937
496,Iceland,1997,3644.7672241945793
